Year,School Name,Suburb,Sector,Type,Latitude,Longitude,Remoteness,Remoteness Category,LGA
2020,Koroit And District Primary School,KOROIT,Government,Primary,-38.292441,142.368702,1,Inner Regional,Moyne (S)
2020,Tylden Primary School,TYLDEN,Government,Primary,-37.32497,144.408578,1,Inner Regional,Macedon Ranges (S)
2020,Thomastown Primary School,THOMASTOWN,Government,Primary,-37.68238797,145.0117394,0,Major Cities,Whittlesea (C)
2020,Wangaratta Primary School,WANGARATTA,Government,Primary,-36.355275,146.329419,1,Inner Regional,Wangaratta (RC)
2020,Wahgunyah Primary School,WAHGUNYAH,Government,Primary,-36.013651,146.397925,1,Inner Regional,Indigo (S)
2020,Woodend Primary School,WOODEND,Government,Primary,-37.35341833,144.5329415,1,Inner Regional,Macedon Ranges (S)
2020,Woodford Primary School,WOODFORD,Government,Primary,-38.316807,142.484504,1,Inner Regional,Warrnambool (C)
2020,Werribee Primary School,WERRIBEE,Government,Primary,-37.906703,144.65911,0,Major Cities,Wyndham (C)
2020,Winters Flat Primary School,CASTLEMAINE,Government,Primary,-37.070164,144.207491,1,Inner Regional,Mount Alexander (S)
2020,Wooragee Primary School,WOORAGEE,Government,Primary,-36.29048,146.730883,1,Inner Regional,Indigo (S)
2020,Wallan Primary School,WALLAN,Government,Primary,-37.411862,144.975078,0,Major Cities,Mitchell (S)
2020,Woolsthorpe Primary School,WOOLSTHORPE,Government,Primary,-38.18741399,142.4317633,1,Inner Regional,Moyne (S)
2020,Yandoit Primary School,YANDOIT,Government,Primary,-37.21400151,144.0884407,1,Inner Regional,Hepburn (S)
2020,Yarram Primary School,YARRAM,Government,Primary,-38.55882036,146.6753921,1,Inner Regional,Wellington (S)
2020,Pleasant Street Primary School (Ballarat),LAKE WENDOUREE,Government,Primary,-37.55705557,143.8387223,1,Inner Regional,Ballarat (C)
2020,Yea Primary School,YEA,Government,Primary,-37.212727,145.428298,1,Inner Regional,Murrindindi (S)
2020,Lancefield Primary School,LANCEFIELD,Government,Primary,-37.27495358,144.726424,1,Inner Regional,Macedon Ranges (S)
2020,Coimadai Primary School,COIMADAI,Government,Primary,-37.6137926,144.478308,1,Inner Regional,Moorabool (S)
2020,Birregurra Primary School,BIRREGURRA,Government,Primary,-38.340507,143.786368,1,Inner Regional,Colac-Otway (S)
2020,Clayton North Primary School,CLAYTON,Government,Primary,-37.912036,145.122753,0,Major Cities,Monash (C)
2020,Milawa Primary School,MILAWA,Government,Primary,-36.44418085,146.4323648,1,Inner Regional,Wangaratta (RC)
2020,Lockwood Primary School,LOCKWOOD,Government,Primary,-36.802579,144.161558,1,Inner Regional,Greater Bendigo (C)
2020,Bealiba Primary School,BEALIBA,Government,Primary,-36.789942,143.551897,1,Inner Regional,Central Goldfields (S)
2020,Bairnsdale Primary School,BAIRNSDALE,Government,Primary,-37.82742322,147.6232285,2,Outer Regional,East Gippsland (S)
2020,Gordon Primary School,GORDON,Government,Primary,-37.58384869,144.105053,1,Inner Regional,Moorabool (S)
2020,Hepburn Primary School,HEPBURN,Government,Primary,-37.310345,144.132348,1,Inner Regional,Hepburn (S)
2020,Lara Lake Primary School,LARA,Government,Primary,-38.030405,144.395642,0,Major Cities,Greater Geelong (C)
2020,Rosedale Primary School,ROSEDALE,Government,Primary,-38.15428579,146.7741493,1,Inner Regional,Wellington (S)
2020,Bright P-12 College,BRIGHT,Government,Combined,-36.733105,146.960928,2,Outer Regional,Alpine (S)
2020,Rochester Primary School,ROCHESTER,Government,Primary,-36.35459709,144.6979959,1,Inner Regional,Campaspe (S)
2020,Ararat Primary School,ARARAT,Government,Primary,-37.285942,142.937307,1,Inner Regional,Ararat (RC)
2020,Jamieson Primary School,JAMIESON,Government,Primary,-37.301151,146.139739,2,Outer Regional,Mansfield (S)
2020,Preston South Primary School,PRESTON,Government,Primary,-37.747867,145.007447,0,Major Cities,Darebin (C)
2020,Omeo Primary School,OMEO,Government,Primary,-37.100217,147.593082,2,Outer Regional,East Gippsland (S)
2020,Harrietville Primary School,HARRIETVILLE,Government,Primary,-36.887713,147.064936,2,Outer Regional,Alpine (S)
2020,Mordialloc Beach Primary School,MORDIALLOC,Government,Primary,-38.005582,145.088809,0,Major Cities,Kingston (C) (Vic.)
2020,Healesville Primary School,HEALESVILLE,Government,Primary,-37.65713287,145.5160425,1,Inner Regional,Yarra Ranges (S)
2020,Lake Bolac College,LAKE BOLAC,Government,Combined,-37.720241,142.837903,2,Outer Regional,Ararat (RC)
2020,Toongabbie Primary School,TOONGABBIE,Government,Primary,-38.056967,146.625183,1,Inner Regional,Latrobe (C) (Vic.)
2020,Waubra Primary School,WAUBRA,Government,Primary,-37.35471,143.636687,1,Inner Regional,Pyrenees (S)
2020,Great Western Primary School,GREAT WESTERN,Government,Primary,-37.148513,142.85173,1,Inner Regional,Northern Grampians (S)
2020,Maffra Primary School,MAFFRA,Government,Primary,-37.964002,146.97677,1,Inner Regional,Wellington (S)
2020,Broken Creek Primary School,BROKEN CREEK,Government,Primary,-36.423279,145.889232,1,Inner Regional,Benalla (RC)
2020,Lal Lal Primary School,LAL LAL,Government,Primary,-37.67652683,144.0105709,1,Inner Regional,Moorabool (S)
2020,Cobden Primary School,COBDEN,Government,Primary,-38.327119,143.078121,1,Inner Regional,Corangamite (S)
2020,St Leonards Primary School,ST LEONARDS,Government,Primary,-38.17193185,144.7150193,1,Inner Regional,Greater Geelong (C)
2020,Lilydale Primary School,LILYDALE,Government,Primary,-37.75367357,145.3540681,0,Major Cities,Yarra Ranges (S)
2020,Bendigo Primary School,BENDIGO,Government,Primary,-36.757329,144.264982,1,Inner Regional,Greater Bendigo (C)
2020,Darraweit Guim Primary School,DARRAWEIT GUIM,Government,Primary,-37.4010281,144.8935664,1,Inner Regional,Macedon Ranges (S)
2020,Linton Primary School,LINTON,Government,Primary,-37.68406827,143.5613088,1,Inner Regional,Golden Plains (S)
2020,Invermay Primary School,INVERMAY,Government,Primary,-37.52085014,143.8743932,1,Inner Regional,Ballarat (C)
2020,Mitta Mitta Primary School,MITTA MITTA,Government,Primary,-36.533414,147.379483,2,Outer Regional,Towong (S)
2020,Camberwell Primary School,CAMBERWELL,Government,Primary,-37.833118,145.057999,0,Major Cities,Boroondara (C)
2020,Greenvale Primary School,GREENVALE,Government,Primary,-37.640312,144.885933,0,Major Cities,Hume (C)
2020,Alexandra Primary School,ALEXANDRA,Government,Primary,-37.19253956,145.7117256,1,Inner Regional,Murrindindi (S)
2020,Rockbank Primary School,ROCKBANK,Government,Primary,-37.732023,144.66214,0,Major Cities,Melton (C)
2020,Bannockburn P-12 College,BANNOCKBURN,Government,Combined,-38.047092,144.16951,1,Inner Regional,Golden Plains (S)
2020,Doreen Primary School,DOREEN,Government,Primary,-37.606324,145.146482,0,Major Cities,Nillumbik (S)
2020,Talbot Primary School,TALBOT,Government,Primary,-37.16865,143.703604,1,Inner Regional,Central Goldfields (S)
2020,Yarra Glen Primary School,YARRA GLEN,Government,Primary,-37.64909639,145.3716153,1,Inner Regional,Yarra Ranges (S)
2020,Elmhurst Primary School,ELMHURST,Government,Primary,-37.178015,143.250208,1,Inner Regional,Ararat (RC)
2020,Kangaroo Flat Primary School,KANGAROO FLAT,Government,Primary,-36.788258,144.234463,1,Inner Regional,Greater Bendigo (C)
2020,Westmeadows Primary School,WESTMEADOWS,Government,Primary,-37.675649,144.895697,0,Major Cities,Hume (C)
2020,Sunbury Primary School,SUNBURY,Government,Primary,-37.597687,144.728144,0,Major Cities,Hume (C)
2020,Diamond Creek Primary School,DIAMOND CREEK,Government,Primary,-37.67184929,145.1516539,0,Major Cities,Nillumbik (S)
2020,Hesket Primary School,HESKET,Government,Primary,-37.34780909,144.6197775,1,Inner Regional,Macedon Ranges (S)
2020,Axedale Primary School,AXEDALE,Government,Primary,-36.786228,144.50146,1,Inner Regional,Greater Bendigo (C)
2020,Vermont Primary School,VERMONT,Government,Primary,-37.837658,145.194176,0,Major Cities,Whitehorse (C)
2020,Tarnagulla Primary School,TARNAGULLA,Government,Primary,-36.771263,143.828403,1,Inner Regional,Loddon (S)
2020,Balwyn Primary School,BALWYN,Government,Primary,-37.813944,145.081524,0,Major Cities,Boroondara (C)
2020,Scoresby Primary School,SCORESBY,Government,Primary,-37.89395,145.227501,0,Major Cities,Knox (C)
2020,Carisbrook Primary School,CARISBROOK,Government,Primary,-37.052061,143.812657,1,Inner Regional,Central Goldfields (S)
2020,Wandin Yallock Primary School,WANDIN NORTH,Government,Primary,-37.79036668,145.436503,0,Major Cities,Yarra Ranges (S)
2020,Yering Primary School,YERING,Government,Primary,-37.7053494,145.3822185,0,Major Cities,Yarra Ranges (S)
2020,Dartmoor Primary School,DARTMOOR,Government,Primary,-37.923017,141.276732,2,Outer Regional,Glenelg (S)
